T,D,Methane,pH,COD,Carbohydrate,Protein,Cellulose,Hemicellulose,Lignin
25,0,92.4,7.73,0.05,0.08,7.58,1.96,3.98,0.75
25,4,100.8,10.43,9.03,7.73,22.16,16.52,26.63,9.58
25,8,111.4,11.51,14.63,12.89,29.64,27.98,56.07,14.43
25,12,123.5,13.01,30.68,27.14,57.68,36.76,62.88,28.77
50,0,97.6,7.77,4.61,4.73,10.75,4.64,7.57,0.58
50,4,110.2,10.06,10.89,9.62,24.89,15.65,27.72,4.6
50,8,115.5,11.5,11.51,9.7,28.1,26.42,53.03,22.39
50,12,131.2,12.88,25.36,22.3,48.79,34.78,53.8,32.34
70,0,100.1,8.01,4.09,3.41,15.58,10.79,20.7,10.36
70,4,119.5,10,11.38,10.91,21.27,17.26,36.29,12.89
70,8,124.2,11.17,24.07,23.19,35.57,32.1,58.68,43.28
70,12,133.1,12.87,40.27,39.38,48.14,36.05,63.43,44.61
90,0,101.5,8.16,7.56,5.39,21.48,11.85,15.61,15.38
90,4,120.3,9.09,19.46,17.48,32.67,20.68,15.17,34.25
90,8,135.9,10.39,29.84,26.05,51.95,27.12,57.39,38.23
90,12,138.9,11.56,42.05,37.3,68.13,34.13,67.3,48.55
